¬
{IMPERIAL_CAMPAIGN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n Ashlanders are the Dunmer nomads of the Morrowind wastelands. They claim to be the direct descendants of the Aldmeri peoples who followed the prophet Veloth into the lands now called Morrowind. They live in camps  formed of small, mobile huts, and typically spend time herding guar and hunting wildlife for meat and hides. The traditions of the Ashlanders give them the right to raid other settlements and other tribes for plunder and slaves. They are lead by Ashkhan, or warchiefs, and are counseled by the arcane wisdom and prophecies of their wise women. There also exists a strong belief in their ancestors. The Velothi are people of Ashlander stock who have abandoned nomadic life and settled among the native Dunmer.\n The Velothi are despised by their Ashlander cousins as being weak and soft, while the Dunmer look down upon the Velothi as an insignificant underclass.\n The Ashlanders believe in the anachronistic culture of the old Dunmer, which, for everyone else, has evolved into the theocratic Great Houses of today's other Dunmer. The Ashlanders see the worship of living Dunmer and the practices of Morrowind's main religious organisation, the Tribunal Temple, as an abomination.\n The Ashlanders prefer the simplistic culture and subsistence economy gained from being nomadic herders or hunters. Their ancestor worship and 'barbaric' ways are considered shamanistic and primitive by Dunmer and Imperial standards.\n Ashlander nomadic camps have portable huts bult from hides stretched on chitin frames. These huts can be quickly dismantled and packed atop a guar when moving to new grazing and hunting grounds. The khan's hut is simply a larger, more elaborate version of a family hut.\n The typical Ashlander is badly predisposed towards foreigners, and many wish for said foreigners and their false gods to be driven from Morrowind. Their desire is for the foreign devils to leave in peace. Ashlanders believe it shameful to attack unarmed persons, but they will kill without hesitation an armed person who egregiously offends them or their clan laws. While the pride of Ashlanders is not strong enough to wage unbeatable war against the Empire, it is strong enough to strike when the Empire appears to be weakened. \n Among clan and kin, Ashlander courtesy is very proper and polite. Outsiders would percieve them as harsh and cruel, perhaps hateful by nature. In their society, challenges are very solemn and serious affairs. They take no offense to gifts of money, and take them as tokens of deference and respect.\n Ashlanders may challenge a stranger who enters a yurt (tent/living place) without invitation.  Specific customs for this differ from tribe to tribe, but leaving when requested typically means no offense is taken. When challenged by an Ashlander for sport, it is acceptable to decline. When challenged for honor, however, it is shameful to decline. Honor challenges arise from offense given in speech or action, or may represent customary formal challenges of status or ritual.\n Ashlander pride is strong. The ways of an Ashlander are pure, but demanding to the untested. It will take a strong leader to bring the last true people of Morrowind honor... by force, or all out war if necessary.
{IMPERIAL_CAMPAIGN_AZTECS_TITLE}	Tribes of Ashlanders
{BANNERS_AZTECS_DESCR} Unlike the other dunmers, the ashlanders have never acknowledged the Tribunal, and still follow the old ways of ancestor-worshipping culture, living as nomadic tribes, especially in Vvardenfell, but also less so in Morrowind mainland. They have been despised by the great houses and Tribunal, and they have steadily been forced into the poorest and most hostile lands. Most of their lands currenly is in Vvardenfell, where one of their most holy places is Ald'ruhn, upom the grave of Skar. Tribes are led by ashkhans and gulakhans, who attends mainly to military matters, while lot of decision power is held by their religious figures, most importantly Wise Women and Farseeers. As most of dunmer troops are now away due to The Three Banners War, several ashlanders tribes used the opportunity to raid the dunmer settlements, such as Iliath Tample in Stonefalls being raided by Kagesh Tribe, or monastery in Muth Gnaar being raded by Vereansu Tribe. And in Vvardenfell, an ashkhan or Urshilaku tribe, Conoon Chodala, approached the council of Ald'ruhn, claiming to be a reborned Nerevarine, and it is being suspected that the loss of Vivec's divine power is caused by Conoon Chodala's staff, the Sunna'rah. A new conflict with the Tribunal may arise, as the Hidden Armigers, tribunal's agents, have already sent agents to resolve the situation....
{BANNERS_SICILY_DESCR}Grandmaster Ralden Hlaalu\n\n  After Morrowind's defeats in Four Score War against The Second Empire, the dunmers have been rebuilding for a long time, under The Tribunal's guidance, increasing Tribunal's authority. Throughout this time, The Grand Council consisting of the 5 great houses was responsible for local governance in Morrowind, while the land as whole was ruled indirectly by The Tribunal. Nowadays, Great House Hlaalu has been of the weaker of the great houses, residing mostly around their capital in Narsis, and having close to none significant holdings in Vvardenfell, which has been being colonized. There have been several disputes and small wars with Great House Dres, however Hlaalu soldiers have proven themselves superior to the Dres slavers. Nowadays, House Hlaalu is a member of the Ebonheart Pact under the Tribunal, and afterwards their participation in the war against the akaviri and formation of the Pact, their warriors participate in The Alliance War in Cyrodiil as well. They havent had any significant objections to Pact's formation, as they rather saw it an an opportunity to open new trading routes, and also were happy to take away the wealth of House Dres. Along with other pact forces, they are now also facing Daggerfall raids of Stonefalls, led by General Serien. And Hlaalu holdings in Deshaan are ravaged by the Llodos plague. House Hlaalu is currently lead by Grandmaster Ralden Hlaalu, who resides in Narsis.
{BANNERS_TURKS_DESCR} Aran Jriska\n\n Khanatan Flu ravaged the Elsweyr hard, similarily as Thrassian plague hundreds years before. The situation had ben desperate until the altmers sent their healers and supplies, due to which the flu could have been finally contained. Many were suspicious of altmer help, as they didnt expect it to be for free. The Empire used this opportunity to renew their attacks, and they managed to push as far as Riverhold and Orcrest, slowly being pushed back afterwards, leaving Orcrest in ruins. When most of the lost lands was retaken, Euraxia Tharn orchestrated a Frostfall Coup in Rimmen, during which anequina king Hemakar and queen Numara were killed, and Euraxia became a queen of Rimmen. Later, they joined Dominion along with altmers and khajiits, for the help the altmers provided during the Khanatan Flu. The Elden Accord was signed by lord Gharesh-ri, the Speaker of The Mane. Several khajiits are part of Thalmor government as well, with lord Gharesh-hi holding the highest position from amongst all the khajiits. And thus, along with their altmer and bosmer allies, the khajiits participate in the Alliance War. In Tenmar, lot of pelletine royal members died to the Khanatan Flu, as well as Governor Z'har Tuslaz of Senchal. Varen Aquilarios had sent the thirteenth legion to help restore Senchal city, but with the Ruby Throne now empty, the legion has gone rogue and General Meric Renmus rules the city. Nowadays, Elsweyr is also threatened by dragons, who have re-surfaced across the province, as former imperial battlemage inadvertently unleashed them from Halls of Collossus, after he retrieved the Wrathstone. Thus, the dragons continue in their quest for Moon's Lunar Power. Quin'rawl peninsual has been hit especially hard. And with the arrival of the dragons, a new khajit dragon cult has been formed, The New Moon Cult...
{BANNERS_POLAND_DESCR} Grandmaster Meriath \n\n After Morrowind's defeat in Four Score War against The Second Empire, the dunmers have been rebuilding for a long time, under The Tribunal's guidance, increasing Tribunal's authority. Throughout this time, The Grand Council consisting of the 5 great houses was responsible for local governance in Morrowind, while the land as whole was ruled indirectly by The Tribunal. Great House Redoran has had a strong military culture, due to gaving to often fight nordic raiders from the west. Under Grandmaster Meriath, they dutifully serve The Tribunal, resulting in members of House Redoran controlling several important military offices amongst many morrowind orders and instituions, such as Buyont Armigers or in Tal'Deic Fortress, and also resuting in House Redoran gaining many new lands in Vvardenfell, such as large portions of lands in Ascadian Isles, Bitter Coast and West Gash. Afterwards their participation in the war against the akaviri and formation of the Pact, their warriors fight in Cyrodiil as part of the Alliance War, while the ashlanders raids in both Vvardenfell and mainland has now became common, and the remaining redoran warriors dont have enough men to repel them, partially having to rely on mercenaries. House Redoran has failed to stop the covenant fleet. The Covenant troops led by General Serien destroyed redoran navy and raided their holding in Bleackrock Isle, continuing south to raid Deshaan...
{BANNERS_PORTUGAL_DESCR} Lord Dagoth-Ur \n\n After Morrowind's defeats in Four Score War against The Second Empire, the dunmers have been rebuilding for a long time, under The Tribunal's guidance, increasing Tribunal's authority. Throughout this time, The Grand Council consisting of the 5 great houses was responsible for local governance in Morrowind, while the land as whole was ruled indirectly by The Tribunal. Prior to all that, in the first Era, Indoril Nerevar was the one to unite all morrowind houses. Neverthless, afterwards Dagoth Ur was thought to be exterminated in the battle of Red Mountain, Nerevar had died, and his 3 Indoril associates, Vivec, Sotha-Sil and Almalexia, succeeded to control Morrowind as The Tribunal. The Tribunal consolidated their power and succeeded in incorporating themselves into the Chiemri belief systen of ancestor and Daedra Worship, at the expense of House of Troubles. Nowadays, Vivec, Sotha-Sil and Almalexia are The Three Living Gods of Morrowind, who have performed many amazing deeds as the Dunmer's immortal protectors. The Three Mortal Gods have keep going on their annual pilgrimage to the Red Mountain to renew their powers, not realizing Dagoth Ur has been alive, and growing stronger. Perhaps its time for House Dagoth to reveal itself, and bring vengeance to the Tribunal, for their treachery in the First Era...

{MAP_TITLE}		MAP WIP
{MAP_ENGLAND_TITLE}Tamriel Empire
{MAP_BYZANTIUM_TITLE}High Kingdom of Summerset Isles - First Aldmeri Dominion
{MAP_ENGLAND_DESCR}Tamriel Empire
{MAP_BYZANTIUM_DESCR}High Kingdom of Summerset Isles - First Aldmeri Dominion

{VVARDEN_TITLE}		3E 427 - Vvardenfell (Provincial map)
{VVARDEN_DESCR}Scenerio features: Unique provincial map - under developed starting settlements - average starting armies - lore starting wars - some experienced starting generals - small family trees - includes events from the Septim Campaign \n\n Take the opportunity to play in the new unique provincial map fro Vvardenfell, during the events of TES III: Morrowind (and more)
{VVARDEN_AZTECS_DESCR}	Ashkhan Sul-Matuul\n\n The Ashlanders are Dunmeri nomads that live in Vvardenfell's wilderness. In the Merethic Era, Ashlanders and Dunmer were very much alike and on equal footing, but after the formation of the First Council and the Great Houses, they have steadily been forced into the poorest and most hostile lands. They travel along with their herds, camping wherever is suitable. Additional resources gained by hunting the local wildlife are used to manufacture huts, armours, clothing and general household items. Unlike the settled Dunmer of the Great Houses, they do not acknowledge the power of the Tribunal. In fact, they believe the Tribunal betrayed Lord Nerevar at the Battle of Red Mountain and are kept alive by means of magic not unlike necromancy. The Ashlanders are very xenophobic and believe all outlanders should leave Vvardenfell.\n\n  The Ashlanders are divided into four clans: Ahemmusa, Erabenimsun, Urshilaku and Zainab. Each clan is traditionally led by an Ashkhan, whereas the spiritual leadership lies with the Wise Woman. With the recent events all tribes have elected one Great Ashkhan to reunite all Ashlanders.\n\n  With the Treaty of the Armistice disbanded, and the old alliances dead, the Ashlander Tribes formed a rare silent alliance with the Redoran, whom are in fact their enemy. The Tribes wish to root out all foreigners from Vvardenfell and gain supremacy over the entire Isle.
{VVARDEN_AZTECS_TITLE}	Tribes of Ashlanders
{VVARDEN_ENGLAND_DESCR}	Emperor Uriel Septim (off map)\n\n The Imperial Legion is the supreme military power of the Cyrodilic Empire of Tamriel; no other organized army in the world can match it in combat. The Legion works for the Imperial government, with support from the Emperor who is currently in power. In peace time, the Legionnaires serve as guards, and patrol the roads, although in war, they have also been used as an invasion force.\n\n  The Legion is a strictly hierarchic organization. Each fort is usually commanded by a Champion (smaller forts), or any higher-ranking Knight (larger forts). The commander of a fort is usually called 'captain' or 'General'. Only Knights may serve as generals. A Knight of the Imperial Dragon is the highest-ranking Legion officer in any District.\n\n  A special Legion platoon comprises the guard of any Duke in the province of Morrowind, the Duke of Vvardenfell, for instance. These soldiers are among the best the Legion has to offer; the most accomplished soldiers of the Duke's guard have the honour of serving as personal Palace guard to the King of Morrowind.\n\n  With the Treaty of the Armistice disbanded, and the old alliances dead, the Imperial Legion devote themselves to keeping the Empire together and to suppress the rebellion.
{VVARDEN_ENGLAND_TITLE}	Empire of Cyrodiil
